idx,ylossParam4At2,ylossParam4At4,ylossParam4At6,ylossParam4var,remnant_energy_loss_fraction,shadowing_factor,tau_form_mean,BG,string_source_sigma_x,string_source_sigma_eta,stringTransverseShiftFrac,shear_viscosity_3_eta_over_s_T_kink_in_GeV,shear_viscosity_3_eta_over_s_low_T_slope_in_GeV,shear_viscosity_3_eta_over_s_high_T_slope_in_GeV,shear_viscosity_3_eta_over_s_at_kink,bulk_viscosity_3_zeta_over_s_max,bulk_viscosity_3_zeta_over_s_T_peak_in_GeV,bulk_viscosity_3_zeta_over_s_width_in_GeV,bulk_viscosity_3_zeta_over_s_lambda_asymm,eps_switch
11,1.646,2.916,1.098,0.351,0.619,0.069,0.9672,14.581,0.1572,0.7629,0.881,0.23761,-0.413,0.395,0.12799,0.11393,0.13062,0.08188,-0.1042,0.5835
12,0.362,3.692,1.614,0.687,0.091,0.907,0.8152,2.207,0.1324,0.1693,0.655,0.29949,-0.809,1.145,0.16409,0.17055,0.2163,0.07662,0.1534,0.2995
13,0.05,3.06,3.726,0.465,0.667,0.881,0.9144,17.847,0.2052,0.6439,0.521,0.20123,-0.035,1.811,0.19753,0.13331,0.2055,0.04038,-0.205,0.1125
14,1.338,1.108,4.926,0.477,0.907,0.365,0.244,5.749,0.1196,0.2953,0.705,0.14785,0.877,0.473,0.18537,0.07859,0.26814,0.08963,0.4194,0.5555
15,0.306,2.868,5.526,0.821,0.969,0.797,0.8664,7.359,0.4404,0.2057,0.073,0.18559,0.217,0.557,0.09987,0.07175,0.12234,0.04637,0.2878,0.2785
16,1.982,3.468,4.266,0.807,0.989,0.717,0.7672,15.593,0.202,0.5823,0.973,0.25155,-0.125,-0.685,0.10975,0.17663,0.28542,0.02913,0.4362,0.1755
17,1.166,0.3,5.358,0.539,0.255,0.645,0.5192,15.869,0.4316,0.1959,0.063,0.26277,-1.913,-0.127,0.18917,0.15725,0.19542,0.03213,0.0834,0.1875
18,1.51,0.58,1.794,0.213,0.005,0.347,0.8616,11.407,0.1636,0.4815,0.961,0.19885,-0.701,1.457,0.06757,0.13787,0.28146,0.13287,-0.681,0.1465
19,0.414,1.516,0.15,0.243,0.511,0.623,0.3864,14.213,0.3148,0.5179,0.717,0.22707,0.007,0.491,0.01513,0.18309,0.2883,0.03288,-0.7426,0.5615
20,1.106,3.372,3.87,0.027,0.479,0.389,0.308,22.677,0.4116,0.5921,0.105,0.28623,-1.445,-0.415,0.06909,0.04173,0.26382,0.13762,0.1114,0.1555
21,1.434,1.78,5.43,0.623,0.167,0.997,0.716,13.431,0.3132,0.7713,0.015,0.14241,-0.503,0.113,0.08695,0.15003,0.29478,0.04387,-0.0706,0.5205
22,0.222,0.012,0.306,0.103,0.763,0.011,0.4648,3.679,0.2996,0.3695,0.769,0.15499,0.235,-0.757,0.10139,0.16637,0.2397,0.11688,0.5258,0.4475
23,0.434,2.964,1.806,0.489,0.837,0.249,0.8792,12.649,0.1676,0.5641,0.135,0.26379,-1.457,-0.523,0.18119,0.09949,0.19146,0.02513,0.593,0.3715
24,1.978,1.54,3.654,0.823,0.339,0.833,0.3384,12.005,0.21,0.3205,0.181,0.15329,0.697,1.337,0.14015,0.01513,0.27822,0.11863,0.1954,0.5185
25,1.798,2.988,3.066,0.497,0.823,0.675,0.2824,21.205,0.4332,0.7069,0.211,0.24271,-1.247,1.979,0.10443,0.19525,0.29514,0.06388,-0.401,0.2375
26,0.638,0.14,2.118,0.141,0.583,0.215,0.724,15.639,0.126,0.7363,0.227,0.23863,0.391,1.487,0.03489,0.19867,0.22566,0.04088,-0.5074,0.1615
27,1.418,0.644,5.778,0.087,0.565,0.739,0.8216,8.877,0.4476,0.6593,0.773,0.13119,-1.769,1.913,0.13521,0.07897,0.15546,0.08163,-0.3674,0.1425
28,1.874,0.868,3.762,0.929,0.129,0.151,0.8312,16.375,0.2108,0.4521,0.733,0.17709,-0.263,-0.667,0.18575,0.11963,0.12954,0.09937,-0.5438,0.2745
29,1.098,2.116,1.218,0.139,0.519,0.165,0.4984,11.545,0.3964,0.3289,0.647,0.20395,-0.299,1.967,0.07023,0.01019,0.12882,0.05288,0.3382,0.2425
30,0.034,1.748,5.058,0.289,0.099,0.043,0.532,21.527,0.2532,0.6019,0.501,0.29065,-1.661,0.905,0.11811,0.05009,0.2001,0.03638,-0.6082,0.5505
31,0.958,3.86,2.058,0.267,0.251,0.373,0.9512,18.859,0.1484,0.1133,0.219,0.26141,-1.397,1.799,0.13977,0.02691,0.15726,0.10587,0.033,0.5705
32,1.422,0.324,2.334,0.423,0.671,0.975,0.42,19.365,0.1652,0.2211,0.561,0.25835,0.667,0.677,0.08581,0.06567,0.22134,0.02863,-0.6418,0.2365
33,0.566,0.42,0.786,0.707,0.257,0.107,0.7848,24.379,0.2068,0.5151,0.937,0.21585,-1.229,0.257,0.18347,0.05389,0.29298,0.14413,0.4978,0.5715
34,0.09,1.404,4.158,0.615,0.999,0.541,0.964,5.611,0.4108,0.1329,0.533,0.22639,-0.737,-0.631,0.11583,0.08505,0.24078,0.07637,0.0302,0.1545
35,0.126,3.612,2.418,0.171,0.859,0.607,0.94,5.473,0.3364,0.5053,0.143,0.13901,0.601,1.619,0.06301,0.15497,0.16806,0.14438,-0.5466,0.2315
36,0.898,2.892,0.258,0.811,0.455,0.981,0.5448,11.177,0.2684,0.7461,0.401,0.29847,0.409,1.247,0.15117,0.06491,0.1263,0.07462,-0.2442,0.3925
37,0.722,2.244,5.478,0.691,0.693,0.309,0.764,20.147,0.1988,0.3331,0.055,0.28793,-0.491,0.893,0.19791,0.12381,0.1245,0.11038,0.4474,0.4755
38,0.702,2.788,5.274,0.991,0.517,0.099,0.6296,17.617,0.47,0.5389,0.393,0.15465,-1.067,1.043,0.10253,0.17929,0.18354,0.10837,-0.4374,0.5595
39,1.974,2.204,5.382,0.745,0.053,0.559,0.7768,4.691,0.3228,0.3639,0.911,0.28487,-1.703,-0.493,0.16675,0.05313,0.23646,0.04863,-0.4934,0.3795
40,1.198,3.812,3.75,0.789,0.093,0.773,0.9176,15.777,0.4908,0.6243,0.455,0.25359,0.553,-0.451,0.01361,0.11659,0.1569,0.13437,0.2794,0.4445
41,0.258,1.116,2.778,0.225,0.933,0.527,0.844,24.977,0.4484,0.4997,0.353,0.17097,-1.607,0.593,0.16713,0.18119,0.25374,0.08213,-0.107,0.3995
42,0.914,3.7,5.814,0.629,0.873,0.887,0.5064,3.403,0.3428,0.3093,0.725,0.23795,-0.533,1.013,0.11431,0.04325,0.15222,0.11888,-0.3534,0.4905
43,1.79,3.308,0.87,0.695,0.451,0.899,0.6184,10.763,0.4452,0.2883,0.323,0.24441,-0.251,0.833,0.04971,0.13939,0.27426,0.14088,0.5202,0.5775
44,0.422,3.508,1.482,0.429,0.157,0.599,0.6632,6.485,0.4764,0.7741,0.267,0.16179,0.823,1.019,0.13635,0.18347,0.15006,0.05588,0.3914,0.4655
45,0.718,2.564,3.366,0.249,0.525,0.349,0.2216,19.319,0.2764,0.1735,0.719,0.27229,0.919,-0.727,0.11355,0.15269,0.13026,0.12513,-0.0874,0.2505
46,1.234,1.436,0.51,0.005,0.657,0.197,0.4184,7.037,0.318,0.5585,0.457,0.28963,0.757,0.917,0.18955,0.09493,0.29262,0.06087,0.1058,0.3285
47,1.846,2.276,4.422,0.631,0.463,0.333,0.4344,20.331,0.134,0.6145,0.903,0.14173,0.361,-0.205,0.11659,0.19905,0.1857,0.05063,-0.6838,0.4555
48,0.962,1.244,1.014,0.985,0.759,0.983,0.8248,5.565,0.3124,0.1385,0.001,0.20667,-1.319,0.989,0.03603,0.16181,0.25338,0.06438,0.3046,0.3455
49,0.762,0.804,5.466,0.881,0.153,0.567,0.8104,17.479,0.4196,0.6523,0.847,0.26447,0.793,1.649,0.15839,0.02007,0.2775,0.12937,-0.191,0.2455
50,0.33,0.084,2.826,0.295,0.037,0.691,0.4328,20.009,0.3028,0.7671,0.027,0.27535,-0.227,0.209,0.04097,0.09379,0.26526,0.03538,0.4866,0.1975
51,1.17,3.284,1.986,0.561,0.309,0.291,0.5256,4.553,0.1292,0.7699,0.803,0.29439,-0.377,-0.991,0.18841,0.06719,0.24906,0.11663,-0.5242,0.3095
52,1.346,1.948,5.898,0.503,0.265,0.965,0.988,17.709,0.214,0.4983,0.819,0.28725,0.163,0.383,0.04553,0.03033,0.23574,0.03138,0.4502,0.5385
53,1.954,1.292,5.454,0.675,0.535,0.245,0.596,22.355,0.4988,0.4451,0.463,0.23115,-1.577,0.323,0.10633,0.12609,0.20694,0.05763,0.5566,0.2225
54,1.446,3.1,4.758,0.053,0.903,0.857,0.4584,24.241,0.1132,0.5333,0.275,0.27773,-0.569,-0.301,0.03337,0.13027,0.16014,0.05713,-0.1826,0.2715
55,0.37,0.052,1.446,0.857,0.125,0.225,0.3,14.167,0.3764,0.5291,0.179,0.13017,-0.269,1.997,0.08201,0.10937,0.21594,0.11763,0.2458,0.1165
56,0.106,0.444,0.426,0.425,0.587,0.065,0.2648,10.349,0.3836,0.5697,0.057,0.27127,-1.997,1.349,0.09721,0.04021,0.2505,0.06788,-0.4654,0.4195
57,1.642,0.852,0.57,0.579,0.307,0.755,0.7128,20.653,0.4132,0.3667,0.975,0.25427,-1.643,1.901,0.01893,0.13673,0.29766,0.03763,0.3858,0.2915
58,0.642,2.452,0.402,0.879,0.949,0.973,0.4712,5.151,0.4428,0.4465,0.671,0.17845,0.661,-0.979,0.03413,0.10367,0.26454,0.03188,0.2178,0.5135
59,0.866,0.524,4.47,0.347,0.591,0.883,0.6904,23.229,0.3596,0.3345,0.271,0.14649,0.829,1.067,0.01437,0.16409,0.27534,0.14263,-0.0286,0.1445
60,1.562,1.86,1.062,0.523,0.303,0.205,0.5528,10.901,0.2948,0.1455,0.377,0.19307,0.883,1.823,0.17549,0.16789,0.24762,0.14613,0.173,0.1365
61,0.038,3.22,2.754,0.947,0.401,0.085,0.6472,5.105,0.4892,0.4325,0.183,0.23047,0.169,-0.607,0.06073,0.17321,0.2235,0.13362,0.5874,0.1115
62,1.726,1.188,4.578,0.971,0.397,0.357,0.7112,2.713,0.4884,0.1679,0.541,0.26243,-0.935,1.175,0.05617,0.03565,0.1335,0.04587,0.1366,0.2035
63,0.714,2.716,4.89,0.935,0.169,0.871,0.9304,18.169,0.11,0.2561,0.839,0.19171,-1.625,-0.481,0.06795,0.16447,0.19578,0.08463,-0.7818,0.3935
64,0.274,1.908,5.85,0.635,0.491,0.731,0.6696,12.419,0.4804,0.1427,0.935,0.22537,-1.373,0.431,0.14547,0.18955,0.26418,0.13912,0.0806,0.4525
65,0.15,1.156,4.17,0.099,0.801,0.971,0.3048,13.385,0.2772,0.1609,0.665,0.14887,-1.499,1.787,0.06035,0.13293,0.1911,0.10812,-0.3506,0.4705
66,0.314,3.124,4.41,0.151,0.829,0.501,0.9416,10.027,0.1228,0.5445,0.985,0.15057,-0.587,0.977,0.17131,0.03071,0.21414,0.04113,0.2318,0.5455
67,0.174,0.98,2.682,0.413,0.145,0.863,0.8808,15.363,0.1268,0.3499,0.753,0.13629,0.517,1.421,0.01209,0.12761,0.18318,0.02638,0.0862,0.3195
68,0.146,1.444,1.818,0.793,0.415,0.637,0.2568,8.693,0.4188,0.6215,0.321,0.21109,0.487,-0.337,0.10595,0.03527,0.27138,0.02538,0.5062,0.2135
69,1.734,3.244,5.802,0.323,0.319,0.583,0.5496,21.941,0.246,0.7895,0.123,0.23183,0.247,-0.079,0.06491,0.08201,0.1317,0.12163,-0.009,0.2445
70,0.25,1.076,5.862,0.507,0.513,0.391,0.4248,9.337,0.2404,0.2967,0.195,0.19851,-0.743,-0.223,0.02577,0.16219,0.18858,0.03837,-0.5718,0.1205
71,1.358,2.196,1.506,0.197,0.431,0.117,0.2632,13.799,0.3252,0.1833,0.047,0.17199,0.379,-0.781,0.03679,0.17549,0.19398,0.09363,-0.6978,0.3405
72,1.75,2.164,0.318,0.271,0.421,0.573,0.2456,17.065,0.466,0.6705,0.701,0.24509,-1.091,0.335,0.19031,0.06035,0.16914,0.07012,0.5958,0.3565
73,0.738,2.94,1.026,0.795,0.987,0.961,0.908,4.783,0.1956,0.7965,0.381,0.14105,-1.145,-0.313,0.01969,0.19487,0.16878,0.09013,-0.6754,0.2775
74,0.69,3.14,3.582,0.601,0.269,0.977,0.3064,9.245,0.3684,0.4871,0.703,0.21313,-1.931,0.923,0.07213,0.07973,0.24726,0.03588,-0.5046,0.1685
75,1.754,1.796,2.646,0.759,0.923,0.601,0.7048,17.387,0.3388,0.1763,0.039,0.21483,0.019,1.793,0.16637,0.11583,0.28002,0.03338,0.495,0.4645
76,1.486,1.316,3.966,0.957,0.963,0.025,0.2376,10.671,0.4004,0.7223,0.783,0.15771,-0.047,-0.547,0.05503,0.02463,0.2091,0.12213,-0.1154,0.2675
77,0.778,2.852,3.138,0.897,0.851,0.087,0.7224,8.463,0.106,0.1245,0.169,0.18083,-1.955,-0.427,0.13483,0.07289,0.24438,0.11113,-0.1854,0.4495
78,1.69,2.404,4.506,0.589,0.661,0.059,0.788,14.811,0.1212,0.6621,0.405,0.27569,-1.223,1.547,0.19487,0.08809,0.28686,0.12413,-0.4122,0.1775
79,0.474,3.78,4.05,0.427,0.977,0.027,0.5992,3.587,0.2356,0.7881,0.907,0.16961,-1.001,1.325,0.02463,0.15155,0.24258,0.03663,-0.0482,0.1845
80,1.57,0.588,0.33,0.679,0.825,0.393,0.5144,23.459,0.3932,0.2463,0.699,0.21075,-1.391,0.443,0.04021,0.15991,0.2289,0.09238,-0.709,0.4365
81,1.766,3.668,1.206,0.437,0.589,0.465,0.4888,2.989,0.1532,0.6943,0.971,0.28589,0.913,0.017,0.04857,0.13749,0.18714,0.12812,0.271,0.1955
82,0.03,3.292,3.978,0.357,0.445,0.173,0.4552,21.481,0.4084,0.3751,0.739,0.27059,0.787,0.461,0.17587,0.14699,0.28794,0.07387,0.5538,0.4215
83,1.022,1.94,5.574,0.545,0.785,0.005,0.2552,4.369,0.1884,0.6775,0.347,0.18967,-0.635,0.401,0.14775,0.12001,0.24798,0.12762,-0.2274,0.5285
84,1.146,0.964,3.246,0.483,0.089,0.221,0.8712,18.629,0.4212,0.1511,0.293,0.22197,-0.407,-0.817,0.12533,0.01931,0.23214,0.04888,-0.6362,0.5945
85,0.246,1.124,2.814,0.617,0.057,0.161,0.9288,8.509,0.238,0.6831,0.889,0.29541,0.985,-0.949,0.18309,0.15687,0.29802,0.09812,0.1338,0.4425
86,1.246,0.204,4.434,0.703,0.163,0.705,0.3128,8.555,0.162,0.4241,0.155,0.21007,-0.449,1.721,0.17283,0.14015,0.14862,0.10012,0.341,0.3535
87,0.446,2.028,3.834,0.009,0.405,0.037,0.5288,18.399,0.194,0.1161,0.439,0.22809,-0.239,0.137,0.19107,0.09683,0.22386,0.08263,-0.7874,0.1255
88,1.386,3.132,4.302,0.873,0.447,0.113,0.812,3.357,0.4268,0.7125,0.519,0.28045,-1.403,0.119,0.11507,0.01285,0.15798,0.09562,0.3354,0.3775
89,1.534,2.3,2.766,0.953,0.803,0.323,0.9544,20.607,0.45,0.7797,0.649,0.25971,-1.721,-0.835,0.07137,0.06263,0.2595,0.11563,-0.6782,0.4875
90,1.706,0.188,5.49,0.111,0.501,0.247,0.2296,22.033,0.1156,0.2141,0.657,0.16077,0.373,-0.307,0.13179,0.01361,0.24978,0.11513,-0.2498,0.1805
91,0.114,3.068,5.754,0.441,0.081,0.713,0.7656,6.071,0.23,0.6061,0.627,0.16621,-1.793,-0.211,0.09303,0.06301,0.26058,0.10337,0.3774,0.4085
92,1.41,3.66,0.498,0.671,0.185,0.721,0.2504,16.881,0.2164,0.5221,0.303,0.22945,-0.833,1.199,0.08923,0.19829,0.27966,0.14938,-0.5018,0.3425
93,0.094,1.964,0.702,0.769,0.067,0.613,0.6664,8.325,0.4292,0.7111,0.417,0.13459,-0.695,1.751,0.01703,0.08999,0.22926,0.12463,0.1646,0.5025
94,1.762,0.476,4.626,0.095,0.503,0.529,0.7832,11.591,0.346,0.5137,0.119,0.24203,-1.949,1.205,0.01931,0.04933,0.21522,0.13037,0.5594,0.3415
95,0.978,2.908,0.102,0.203,0.749,0.341,0.3192,15.087,0.4924,0.4969,0.269,0.24577,0.847,1.277,0.17701,0.16903,0.2181,0.12313,-0.6558,0.2975
96,1.15,3.988,0.486,0.851,0.797,0.257,0.4472,15.271,0.2612,0.7083,0.089,0.14207,-1.097,0.149,0.12647,0.08429,0.24942,0.10162,-0.0986,0.1485
97,0.966,3.004,3.51,0.569,0.387,0.581,0.3592,9.797,0.3156,0.3443,0.283,0.15193,-0.671,0.281,0.19905,0.15801,0.13638,0.07087,-0.3478,0.5785
98,1.514,2.724,1.602,0.543,0.945,0.799,0.516,10.211,0.17,0.2099,0.485,0.20463,-1.673,-0.931,0.06377,0.03413,0.14754,0.06738,0.5342,0.5635
99,1.626,1.236,2.958,0.515,0.687,0.753,0.3912,23.919,0.486,0.7867,0.107,0.15975,-0.389,-0.679,0.18081,0.06947,0.22062,0.07687,-0.1742,0.3265
100,0.202,3.324,5.394,0.607,0.643,0.679,0.6504,6.623,0.174,0.2841,0.305,0.29167,-0.929,1.295,0.17739,0.09835,0.2073,0.03463,-0.7846,0.5895
101,1.406,2.348,3.666,0.571,0.649,0.269,0.6424,24.471,0.3908,0.7405,0.043,0.23489,0.769,1.589,0.13217,0.12077,0.14034,0.06513,-0.5914,0.1015
102,1.442,0.668,1.122,0.393,0.443,0.629,0.2904,18.215,0.4612,0.1315,0.679,0.14513,-1.553,-0.181,0.14395,0.19411,0.2973,0.10487,-0.7342,0.1075
103,0.266,3.564,0.762,0.057,0.075,0.149,0.5224,9.383,0.3404,0.7321,0.943,0.26311,-0.101,0.815,0.14585,0.10975,0.14826,0.04763,-0.1406,0.1395
104,1.962,0.116,1.254,0.969,0.177,0.497,0.3608,8.739,0.4092,0.2225,0.139,0.14921,0.349,1.271,0.06567,0.18765,0.24006,0.05113,-0.121,0.3105
105,0.046,1.468,2.658,0.107,0.367,0.703,0.8344,22.309,0.1412,0.6397,0.493,0.28521,-0.611,1.163,0.12951,0.11811,0.29622,0.13237,0.579,0.1915
106,0.318,2.124,4.998,0.867,0.563,0.121,0.3304,6.945,0.1036,0.4955,0.441,0.24067,0.781,-0.571,0.03565,0.01817,0.19974,0.11163,0.1814,0.1665
107,1.83,3.596,4.902,0.587,0.893,0.421,0.6616,17.893,0.31,0.4423,0.319,0.20939,-1.421,-0.889,0.14661,0.14889,0.1983,0.13987,-0.6334,0.1145
108,0.41,0.124,2.478,0.033,0.283,0.845,0.2536,22.539,0.286,0.3065,0.363,0.26345,-1.415,1.217,0.15421,0.17625,0.19938,0.06488,-0.5634,0.2235
109,1.598,3.036,3.462,0.925,0.105,0.511,0.2136,15.041,0.2428,0.2085,0.727,0.29031,-1.235,1.757,0.05845,0.04591,0.20082,0.13637,0.453,0.3465
110,0.286,0.156,3.33,0.291,0.707,0.959,0.7624,9.475,0.1548,0.6201,0.199,0.13323,0.115,0.479,0.03755,0.04553,0.16086,0.11938,-0.0678,0.2725
111,0.846,0.172,0.534,0.165,0.817,0.595,0.9848,8.049,0.4868,0.2617,0.431,0.22469,0.001,-0.355,0.15193,0.18651,0.2523,0.09488,-0.3562,0.2105
112,0.026,2.652,3.618,0.155,0.745,0.639,0.7816,2.759,0.4044,0.4829,0.901,0.14751,-1.169,0.707,0.03223,0.09759,0.28866,0.05838,-0.3226,0.2965
113,0.666,1.036,3.522,0.825,0.295,0.375,0.98,5.197,0.3164,0.1021,0.643,0.27331,-1.301,0.095,0.08809,0.12039,0.15258,0.04013,-0.7986,0.3115
114,0.102,2.34,3.546,0.509,0.205,0.001,0.9,20.055,0.178,0.2071,0.867,0.24237,0.025,-0.793,0.05009,0.05959,0.17094,0.06363,0.1758,0.2695
115,1.89,0.988,2.394,0.853,0.393,0.787,0.5848,17.939,0.266,0.6411,0.023,0.28759,0.853,1.403,0.06833,0.14471,0.17994,0.05213,-0.6474,0.1565
116,0.83,1.716,2.562,0.749,0.029,0.387,0.2712,6.991,0.146,0.7783,0.967,0.28317,-0.113,1.307,0.01133,0.11697,0.20226,0.09113,-0.2834,0.2985
117,0.254,3.212,0.714,0.451,0.723,0.743,0.2392,12.833,0.1492,0.1273,0.735,0.18933,0.451,1.181,0.15877,0.07555,0.1965,0.09862,0.0442,0.2025
118,1.118,2.052,0.09,0.949,0.293,0.285,0.556,19.411,0.418,0.3765,0.263,0.18287,-0.131,-0.235,0.01551,0.06339,0.14322,0.09637,0.481,0.5795
119,1.462,0.5,1.146,0.499,0.981,0.067,0.3336,6.117,0.1932,0.2575,0.317,0.29371,0.535,1.133,0.07669,0.10557,0.1497,0.13862,-0.037,0.3215
120,1.086,2.1,0.918,0.921,0.831,0.081,0.2184,20.101,0.4732,0.2827,0.197,0.13663,0.529,1.451,0.16257,0.09569,0.26238,0.04562,-0.3366,0.1745
121,1.802,0.996,1.53,0.677,0.499,0.891,0.5304,8.279,0.1692,0.6089,0.827,0.19205,0.805,-0.391,0.19867,0.08011,0.28578,0.07888,-0.345,0.3765
122,0.746,0.092,4.614,0.201,0.025,0.035,0.6072,5.519,0.4276,0.4899,0.257,0.22163,-0.749,1.541,0.06453,0.15953,0.1281,0.04188,0.2066,0.5625
123,0.994,0.676,2.154,0.089,0.869,0.553,0.9032,23.505,0.402,0.1175,0.999,0.13187,-0.173,-0.439,0.05921,0.02995,0.24546,0.05188,-0.261,0.3705
124,0.59,3.884,1.698,0.175,0.311,0.017,0.8392,22.125,0.4372,0.3261,0.029,0.19919,0.133,0.521,0.06263,0.09151,0.25014,0.06638,-0.7538,0.1815
125,0.498,3.74,0.75,0.845,0.943,0.377,0.732,2.897,0.39,0.3163,0.173,0.27195,0.511,0.935,0.06719,0.11507,0.29982,0.09612,0.4026,0.4105
126,1.718,3.964,2.178,0.337,0.213,0.525,0.34,19.779,0.2308,0.2519,0.611,0.21789,-0.629,0.071,0.17967,0.02425,0.26634,0.09887,0.4306,0.1345
127,0.278,1.724,5.934,0.859,0.743,0.859,0.756,23.183,0.4876,0.4311,0.333,0.26889,0.907,-0.061,0.13559,0.02577,0.17958,0.09762,-0.6698,0.5195
128,1.334,1.58,4.026,0.973,0.573,0.191,0.868,24.333,0.13,0.1987,0.821,0.26175,-0.107,0.551,0.11317,0.11317,0.19758,0.13687,0.0666,0.4395
129,0.374,0.34,3.45,0.039,0.633,0.171,0.452,17.801,0.1732,0.7811,0.085,0.20599,-0.563,0.059,0.10671,0.17245,0.20154,0.10687,0.2122,0.5215
130,0.65,1.804,2.994,0.085,0.957,0.051,0.444,4.829,0.182,0.1581,0.587,0.15737,-0.755,0.821,0.08885,0.18423,0.28254,0.14463,-0.6446,0.1695
131,1.094,2.948,0.45,0.513,0.155,0.969,0.7032,22.585,0.1708,0.5977,0.517,0.13391,-1.979,0.773,0.11051,0.14585,0.2325,0.06237,0.1254,0.1905
132,1.018,2.972,1.398,0.379,0.047,0.481,0.9192,24.149,0.2548,0.2407,0.413,0.27399,-0.365,-0.847,0.15991,0.14243,0.13422,0.14513,-0.5158,0.5055
133,1.314,1.756,2.55,0.077,0.035,0.239,0.7912,24.655,0.2444,0.4171,0.149,0.17539,-0.989,0.509,0.03907,0.03451,0.2685,0.04738,-0.5214,0.2875
134,0.786,2.5,1.326,0.047,0.211,0.643,0.828,12.327,0.4844,0.6845,0.577,0.19545,-1.355,-0.883,0.19639,0.10025,0.25806,0.03787,0.3158,0.1945
135,0.834,3.396,0.954,0.383,0.789,0.157,0.3256,20.285,0.326,0.6173,0.767,0.23285,-1.973,-0.637,0.14281,0.02083,0.22638,0.13137,-0.5382,0.5735
136,1.606,0.164,5.118,0.933,0.853,0.487,0.8136,4.737,0.2364,0.4857,0.435,0.27161,0.427,1.853,0.10367,0.08125,0.14142,0.05613,-0.5746,0.1935
137,1.258,3.836,4.914,0.537,0.531,0.077,0.7704,22.907,0.438,0.2197,0.593,0.29337,0.685,1.625,0.16143,0.18461,0.1731,0.10437,-0.1182,0.2655
138,0.99,2.668,5.262,0.471,0.537,0.179,0.7944,7.129,0.25,0.7951,0.223,0.28419,0.013,0.671,0.07593,0.05579,0.22602,0.06887,0.2962,0.5805
139,0.578,1.276,2.322,0.269,0.285,0.539,0.78,10.533,0.1188,0.5543,0.345,0.22435,0.775,0.695,0.19829,0.14775,0.19074,0.14113,-0.7314,0.2805
140,1.614,0.26,3.078,0.521,0.941,0.289,0.684,16.467,0.1084,0.7475,0.635,0.27603,0.703,-0.031,0.12723,0.04781,0.1515,0.03488,0.2262,0.4825
141,0.062,0.764,0.354,0.385,0.271,0.327,0.8728,5.059,0.3036,0.1903,0.619,0.18729,0.079,1.193,0.19411,0.14661,0.28506,0.10562,-0.2806,0.3475
142,1.778,1.1,5.61,0.169,0.419,0.235,0.9336,21.297,0.37,0.1861,0.307,0.29473,-1.691,1.343,0.03299,0.09417,0.29334,0.08988,-0.3618,0.2555
